agent,pixelInput,navigationNoise,episode,x_value,z_value,distance,size,finalReward
Agent_32,32,0.8,x_18_z_2_size_0.2.yml,18,2,2.5,0.2,0.26910007
Agent_32,32,0.8,x_38_z_34_size_1.6.yml,38,34,38.029593739612835,1.6,-0.9975971
Agent_32,32,0.8,x_38_z_6_size_1.0.yml,38,6,18.82153022471871,1.0,-0.9975971
Agent_32,32,0.8,x_18_z_22_size_1.0.yml,18,22,21.592822881689184,1.0,-0.9975971
Agent_32,32,0.8,x_38_z_30_size_1.8.yml,38,30,34.55792239125495,1.8,-0.9975971
Agent_32,32,0.8,x_34_z_38_size_1.2.yml,34,38,40.02811511925087,1.2,-0.9975971
Agent_32,32,0.8,x_18_z_2_size_0.8.yml,18,2,2.5,0.8,0.55280006
Agent_32,32,0.8,x_30_z_10_size_1.0.yml,30,10,13.793114224133722,1.0,-0.9975971
Agent_32,32,0.8,x_14_z_14_size_1.4.yml,14,14,14.773286702694158,1.4,0.92019904
Agent_32,32,0.8,x_6_z_2_size_1.4.yml,6,2,14.080127840328723,1.4,0.7122004
Agent_32,32,0.8,x_18_z_26_size_2.0.yml,18,26,25.578311124857326,2.0,1.0324028
Agent_32,32,0.8,x_38_z_14_size_0.4.yml,38,14,22.5,0.4,-0.9975971
Agent_32,32,0.8,x_38_z_6_size_1.4.yml,38,6,18.82153022471871,1.4,0.60820127
Agent_32,32,0.8,x_2_z_14_size_0.4.yml,2,14,22.5,0.4,-0.9975971
Agent_32,32,0.8,x_2_z_14_size_0.6.yml,2,14,22.5,0.6,-0.9975971
Agent_32,32,0.8,x_34_z_6_size_2.0.yml,34,6,15.041608956491324,2.0,1.4291995
Agent_32,32,0.8,x_10_z_10_size_1.4.yml,10,10,13.793114224133722,1.4,0.7562001
Agent_32,32,0.8,x_30_z_30_size_0.8.yml,30,30,31.148836254345042,0.8,-0.9975971
Agent_32,32,0.8,x_2_z_22_size_1.6.yml,2,22,28.040149785619906,1.6,-0.9975971
Agent_32,32,0.8,x_18_z_6_size_0.8.yml,18,6,5.852349955359813,0.8,0.4679998
Agent_32,32,0.8,x_34_z_30_size_2.0.yml,34,30,32.65348373451139,2.0,1.0428026
Agent_32,32,0.8,x_38_z_22_size_0.8.yml,38,22,28.040149785619906,0.8,-0.9975971
Agent_32,32,0.8,x_14_z_38_size_1.0.yml,14,38,37.97696670351649,1.0,-0.9975971
Agent_32,32,0.8,x_10_z_22_size_1.6.yml,10,22,23.71181140275875,1.6,0.88960063
Agent_32,32,0.8,x_14_z_30_size_1.2.yml,14,30,30.103986446980738,1.2,-0.9975971
Agent_32,32,0.8,x_18_z_6_size_0.2.yml,18,6,5.852349955359813,0.2,0.03389916
Agent_32,32,0.8,x_18_z_10_size_1.8.yml,18,10,9.7082439194738,1.8,1.3701993
Agent_32,32,0.8,x_6_z_22_size_1.0.yml,6,22,25.656383221335,1.0,-0.9975971
Agent_32,32,0.8,x_18_z_18_size_0.4.yml,18,18,17.613914953808536,0.4,-0.9975971
Agent_32,32,0.8,x_38_z_34_size_2.0.yml,38,34,38.029593739612835,2.0,-0.9975971
Agent_32,32,0.8,x_18_z_18_size_2.0.yml,18,18,17.613914953808536,2.0,1.3843999
Agent_32,32,0.8,x_38_z_10_size_1.0.yml,38,10,20.35313243704762,1.0,-0.9975971
Agent_32,32,0.8,x_18_z_26_size_1.6.yml,18,26,25.578311124857326,1.6,-0.9975971
Agent_32,32,0.8,x_18_z_14_size_0.2.yml,18,14,13.647344063956181,0.2,-0.9975971
Agent_32,32,0.8,x_10_z_38_size_1.2.yml,10,38,38.81043674065006,1.2,-0.9975971
Agent_32,32,0.8,x_38_z_18_size_0.6.yml,38,18,25.104780421266383,0.6,-0.9975971
Agent_32,32,0.8,x_10_z_2_size_1.2.yml,10,2,10.111874208078342,1.2,0.6307996
Agent_32,32,0.8,x_10_z_34_size_1.2.yml,10,34,34.96069221282668,1.2,-0.9975971
Agent_32,32,0.8,x_38_z_34_size_0.4.yml,38,34,38.029593739612835,0.4,-0.9975971
Agent_32,32,0.8,x_14_z_10_size_1.4.yml,14,10,11.236102527122116,1.4,0.8809991
Agent_32,32,0.8,x_14_z_34_size_1.2.yml,14,34,34.03307215048327,1.2,-0.9975971
Agent_32,32,0.8,x_6_z_10_size_1.0.yml,6,10,16.91892431568863,1.0,-0.9975971
