,link_type,gen_mean_k,logistic_p,prior_type,sigma_factor,modelBrier,aggBrier,modelBetter,navMean,navStd,visualMean,visualStd
48,multiplicative,1,0.950,HalfNormal,1,0.106360,0.144375,True,18.149753,2.077919,3.271775,8.024048e-01
49,multiplicative,1,0.950,HalfNormal,2,0.108300,0.144375,True,20.303900,2.176292,1.875307,4.003545e-01
50,multiplicative,1,0.950,HalfNormal,4,0.110910,0.144375,True,22.117365,2.194796,1.061451,2.034046e-01
51,multiplicative,1,0.950,Uniform,2,0.164389,0.144375,False,48.639952,1.165742,0.000118,2.299302e-06
52,multiplicative,1,0.990,HalfNormal,1,0.092516,0.144375,True,19.641251,1.489077,4.597991,7.453653e-01
53,multiplicative,1,0.990,HalfNormal,2,0.096398,0.144375,True,21.779736,1.561251,2.725561,3.856275e-01
54,multiplicative,1,0.990,HalfNormal,4,0.101852,0.144375,True,23.819223,1.726825,1.589227,2.025855e-01
55,multiplicative,1,0.990,Uniform,2,0.173131,0.144375,False,47.802265,1.824673,0.000119,1.318298e-06
56,multiplicative,1,0.999,HalfNormal,1,0.078734,0.144375,True,20.359061,1.187052,5.941537,7.052427e-01
57,multiplicative,1,0.999,HalfNormal,2,0.084931,0.144375,True,22.456730,1.318452,3.725245,3.688446e-01
58,multiplicative,1,0.999,HalfNormal,4,0.094693,0.144375,True,24.621180,1.459089,2.238556,1.978931e-01
59,multiplicative,1,0.999,Uniform,2,0.174852,0.144375,False,45.831828,3.115117,0.000119,9.022338e-07
